row #,codeTable,template,octet,noteAppliesTo,noteID-PDF,noteGitHub,myComment
1001,1.6,GRIB2_Template_1_0_IdentificationTemplate_en,24,octet,n/a,(see Code table 1.6),
1004,1.6,GRIB2_Template_1_2_IdentificationTemplate_en,24,octet,n/a,(see Code table 1.6),
1007,3.2,GRIB2_Template_3_0_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1039,3.2,GRIB2_Template_3_4_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1059,3.2,GRIB2_Template_3_10_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1066,3.2,GRIB2_Template_3_12_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1070,3.2,GRIB2_Template_3_20_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1081,3.2,GRIB2_Template_3_30_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1091,3.2,GRIB2_Template_3_31_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1102,3.2,GRIB2_Template_3_40_GridDefinitionTemplate_en,15,octet,n/a,(see Code table 3.2),
1134,3.6,GRIB2_Template_3_50_GridDefinitionTemplate_en,27,octet,n/a,(see Code table 3.6),
1135,3.7,GRIB2_Template_3_50_GridDefinitionTemplate_en,28,octet,n/a,(see Code table 3.7),
1143,4.1,GRIB2_Template_4_0_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1144,4.2,GRIB2_Template_4_0_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1145,4.3,GRIB2_Template_4_0_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1147,4.4,GRIB2_Template_4_0_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1148,4.5,GRIB2_Template_4_0_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1149,4.5,GRIB2_Template_4_0_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1150,4.1,GRIB2_Template_4_1_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1151,4.2,GRIB2_Template_4_1_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1152,4.3,GRIB2_Template_4_1_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1154,4.4,GRIB2_Template_4_1_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1155,4.5,GRIB2_Template_4_1_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1156,4.5,GRIB2_Template_4_1_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1157,4.6,GRIB2_Template_4_1_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.6),
1158,4.1,GRIB2_Template_4_2_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1159,4.2,GRIB2_Template_4_2_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1160,4.3,GRIB2_Template_4_2_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1162,4.4,GRIB2_Template_4_2_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1163,4.5,GRIB2_Template_4_2_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1164,4.5,GRIB2_Template_4_2_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1165,4.7,GRIB2_Template_4_2_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1166,4.1,GRIB2_Template_4_3_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1167,4.2,GRIB2_Template_4_3_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1168,4.3,GRIB2_Template_4_3_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1170,4.4,GRIB2_Template_4_3_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1171,4.5,GRIB2_Template_4_3_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1172,4.5,GRIB2_Template_4_3_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1173,4.7,GRIB2_Template_4_3_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1174,4.8,GRIB2_Template_4_3_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1175,4.1,GRIB2_Template_4_4_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1176,4.2,GRIB2_Template_4_4_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1177,4.3,GRIB2_Template_4_4_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1179,4.4,GRIB2_Template_4_4_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1180,4.5,GRIB2_Template_4_4_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1181,4.5,GRIB2_Template_4_4_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1182,4.7,GRIB2_Template_4_4_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1183,4.8,GRIB2_Template_4_4_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1184,4.1,GRIB2_Template_4_5_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1185,4.2,GRIB2_Template_4_5_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1186,4.3,GRIB2_Template_4_5_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1188,4.4,GRIB2_Template_4_5_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1189,4.5,GRIB2_Template_4_5_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1190,4.5,GRIB2_Template_4_5_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1191,4.9,GRIB2_Template_4_5_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.9),
1192,4.1,GRIB2_Template_4_6_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1193,4.2,GRIB2_Template_4_6_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1194,4.3,GRIB2_Template_4_6_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1196,4.4,GRIB2_Template_4_6_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1197,4.5,GRIB2_Template_4_6_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1198,4.5,GRIB2_Template_4_6_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1199,4.1,GRIB2_Template_4_7_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1200,4.2,GRIB2_Template_4_7_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1201,4.3,GRIB2_Template_4_7_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1203,4.4,GRIB2_Template_4_7_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1204,4.5,GRIB2_Template_4_7_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1205,4.5,GRIB2_Template_4_7_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1207,4.1,GRIB2_Template_4_8_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1208,4.2,GRIB2_Template_4_8_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1209,4.3,GRIB2_Template_4_8_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1211,4.4,GRIB2_Template_4_8_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1213,4.5,GRIB2_Template_4_8_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1214,4.5,GRIB2_Template_4_8_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1215,4.1,GRIB2_Template_4_8_ProductDefinitionTemplate_en,47,octet,n/a,(see Code table 4.10),
1216,4.11,GRIB2_Template_4_8_ProductDefinitionTemplate_en,48,octet,n/a,(see Code table 4.11),
1217,4.4,GRIB2_Template_4_8_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.4),
1218,4.4,GRIB2_Template_4_8_ProductDefinitionTemplate_en,54,octet,n/a,(see Code table 4.4),
1221,4.1,GRIB2_Template_4_9_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1222,4.2,GRIB2_Template_4_9_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1223,4.3,GRIB2_Template_4_9_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1225,4.4,GRIB2_Template_4_9_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1227,4.5,GRIB2_Template_4_9_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1228,4.5,GRIB2_Template_4_9_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1229,4.9,GRIB2_Template_4_9_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.9),
1230,4.1,GRIB2_Template_4_9_ProductDefinitionTemplate_en,60,octet,n/a,(see Code table 4.10),
1231,4.11,GRIB2_Template_4_9_ProductDefinitionTemplate_en,61,octet,n/a,(see Code table 4.11),
1232,4.4,GRIB2_Template_4_9_ProductDefinitionTemplate_en,62,octet,n/a,(see Code table 4.4),
1233,4.4,GRIB2_Template_4_9_ProductDefinitionTemplate_en,67,octet,n/a,(see Code table 4.4),
1236,4.1,GRIB2_Template_4_10_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1237,4.2,GRIB2_Template_4_10_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1238,4.3,GRIB2_Template_4_10_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1240,4.4,GRIB2_Template_4_10_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1242,4.5,GRIB2_Template_4_10_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1243,4.5,GRIB2_Template_4_10_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1244,4.1,GRIB2_Template_4_10_ProductDefinitionTemplate_en,48,octet,n/a,(see Code table 4.10),
1245,4.11,GRIB2_Template_4_10_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.11),
1246,4.4,GRIB2_Template_4_10_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.4),
1247,4.4,GRIB2_Template_4_10_ProductDefinitionTemplate_en,55,octet,n/a,(see Code table 4.4),
1250,4.1,GRIB2_Template_4_11_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1251,4.2,GRIB2_Template_4_11_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1252,4.3,GRIB2_Template_4_11_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1254,4.4,GRIB2_Template_4_11_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1256,4.5,GRIB2_Template_4_11_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1257,4.5,GRIB2_Template_4_11_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1258,4.6,GRIB2_Template_4_11_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.6),
1259,4.1,GRIB2_Template_4_11_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.10),
1260,4.11,GRIB2_Template_4_11_ProductDefinitionTemplate_en,51,octet,n/a,(see Code table 4.11),
1261,4.4,GRIB2_Template_4_11_ProductDefinitionTemplate_en,52,octet,n/a,(see Code table 4.4),
1262,4.4,GRIB2_Template_4_11_ProductDefinitionTemplate_en,57,octet,n/a,(see Code table 4.4),
1265,4.1,GRIB2_Template_4_12_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1266,4.2,GRIB2_Template_4_12_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1267,4.3,GRIB2_Template_4_12_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1269,4.4,GRIB2_Template_4_12_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1271,4.5,GRIB2_Template_4_12_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1272,4.5,GRIB2_Template_4_12_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1273,4.7,GRIB2_Template_4_12_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1274,4.1,GRIB2_Template_4_12_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.10),
1275,4.11,GRIB2_Template_4_12_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.11),
1276,4.4,GRIB2_Template_4_12_ProductDefinitionTemplate_en,51,octet,n/a,(see Code table 4.4),
1277,4.4,GRIB2_Template_4_12_ProductDefinitionTemplate_en,56,octet,n/a,(see Code table 4.4),
1280,4.1,GRIB2_Template_4_13_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1281,4.2,GRIB2_Template_4_13_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1282,4.3,GRIB2_Template_4_13_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1284,4.4,GRIB2_Template_4_13_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1286,4.5,GRIB2_Template_4_13_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1287,4.5,GRIB2_Template_4_13_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1288,4.7,GRIB2_Template_4_13_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1289,4.8,GRIB2_Template_4_13_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1290,4.1,GRIB2_Template_4_13_ProductDefinitionTemplate_en,81,octet,n/a,(see Code table 4.10),
1291,4.11,GRIB2_Template_4_13_ProductDefinitionTemplate_en,82,octet,n/a,(see Code table 4.11),
1292,4.4,GRIB2_Template_4_13_ProductDefinitionTemplate_en,83,octet,n/a,(see Code table 4.4),
1293,4.4,GRIB2_Template_4_13_ProductDefinitionTemplate_en,88,octet,n/a,(see Code table 4.4),
1296,4.1,GRIB2_Template_4_14_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1297,4.2,GRIB2_Template_4_14_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1298,4.3,GRIB2_Template_4_14_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1300,4.4,GRIB2_Template_4_14_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1302,4.5,GRIB2_Template_4_14_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1303,4.5,GRIB2_Template_4_14_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1304,4.7,GRIB2_Template_4_14_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.7),
1305,4.8,GRIB2_Template_4_14_ProductDefinitionTemplate_en,41,octet,n/a,(see Code table 4.8),
1306,4.1,GRIB2_Template_4_14_ProductDefinitionTemplate_en,77,octet,n/a,(see Code table 4.10),
1307,4.11,GRIB2_Template_4_14_ProductDefinitionTemplate_en,78,octet,n/a,(see Code table 4.11),
1308,4.4,GRIB2_Template_4_14_ProductDefinitionTemplate_en,79,octet,n/a,(see Code table 4.4),
1309,4.4,GRIB2_Template_4_14_ProductDefinitionTemplate_en,84,octet,n/a,(see Code table 4.4),
1312,4.1,GRIB2_Template_4_15_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1313,4.2,GRIB2_Template_4_15_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1314,4.3,GRIB2_Template_4_15_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1316,4.4,GRIB2_Template_4_15_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1317,4.5,GRIB2_Template_4_15_ProductDefinitionTemplate_en,23,octet,n/a,(see Code table 4.5),
1318,4.5,GRIB2_Template_4_15_ProductDefinitionTemplate_en,29,octet,n/a,(see Code table 4.5),
1319,4.1,GRIB2_Template_4_15_ProductDefinitionTemplate_en,35,octet,n/a,(see Code table 4.10),
1320,4.15,GRIB2_Template_4_15_ProductDefinitionTemplate_en,36,octet,n/a,(see Code table 4.15),
1321,4.1,GRIB2_Template_4_20_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1322,4.2,GRIB2_Template_4_20_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1323,4.3,GRIB2_Template_4_20_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1324,4.12,GRIB2_Template_4_20_ProductDefinitionTemplate_en,31,octet,n/a,(see Code table 4.12),
1325,4.13,GRIB2_Template_4_20_ProductDefinitionTemplate_en,33,octet,n/a,(see Code table 4.13),
1326,4.14,GRIB2_Template_4_20_ProductDefinitionTemplate_en,34,octet,n/a,(see Code table 4.14),
1327,4.1,GRIB2_Template_4_30_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1328,4.2,GRIB2_Template_4_30_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1329,4.3,GRIB2_Template_4_30_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1332,4.1,GRIB2_Template_4_31_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1333,4.2,GRIB2_Template_4_31_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1334,4.3,GRIB2_Template_4_31_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1336,4.1,GRIB2_Template_4_32_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1337,4.2,GRIB2_Template_4_32_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1338,4.3,GRIB2_Template_4_32_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1340,4.4,GRIB2_Template_4_32_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1342,4.1,GRIB2_Template_4_33_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1343,4.2,GRIB2_Template_4_33_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1344,4.3,GRIB2_Template_4_33_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1346,4.4,GRIB2_Template_4_33_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1347,4.6,GRIB2_Template_4_33_ProductDefinitionTemplate_en,(24+11NB),octet,n/a,(see Code table 4.6),
1348,4.1,GRIB2_Template_4_34_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1349,4.2,GRIB2_Template_4_34_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1350,4.3,GRIB2_Template_4_34_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1352,4.4,GRIB2_Template_4_34_ProductDefinitionTemplate_en,18,octet,n/a,(see Code table 4.4),
1354,4.6,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(24+11NB),octet,n/a,(see Code table 4.6),
1355,4.1,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(39+11NB+12(i-1)),octet,n/a,(see Code table 4.10),
1356,4.11,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(40+11NB+12(i-1)),octet,n/a,(see Code table 4.11),
1357,4.4,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(41+11NB+12(i-1)),octet,n/a,(see Code table 4.4),
1358,4.4,GRIB2_Template_4_34_ProductDefinitionTemplate_en,(46+11NB+12(i-1)),octet,n/a,(see Code table 4.4),
1361,4.1,GRIB2_Template_4_35_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1362,4.2,GRIB2_Template_4_35_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1363,4.3,GRIB2_Template_4_35_ProductDefinitionTemplate_en,12,octet,n/a,(see Code table 4.3),
1364,4.16,GRIB2_Template_4_35_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.16),
1366,4.1,GRIB2_Template_4_40_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1367,4.2,GRIB2_Template_4_40_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1368,4.23,GRIB2_Template_4_40_ProductDefinitionTemplate_en,12-13,octet,n/a,(see Code table 4.230),
1369,4.3,GRIB2_Template_4_40_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.3),
1371,4.4,GRIB2_Template_4_40_ProductDefinitionTemplate_en,20,octet,n/a,(see Code table 4.4),
1372,4.5,GRIB2_Template_4_40_ProductDefinitionTemplate_en,25,octet,n/a,(see Code table 4.5),
1373,4.5,GRIB2_Template_4_40_ProductDefinitionTemplate_en,31,octet,n/a,(see Code table 4.5),
1374,4.1,GRIB2_Template_4_41_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1375,4.2,GRIB2_Template_4_41_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1376,4.23,GRIB2_Template_4_41_ProductDefinitionTemplate_en,12-13,octet,n/a,(see Code table 4.230),
1377,4.3,GRIB2_Template_4_41_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.3),
1379,4.4,GRIB2_Template_4_41_ProductDefinitionTemplate_en,20,octet,n/a,(see Code table 4.4),
1380,4.5,GRIB2_Template_4_41_ProductDefinitionTemplate_en,25,octet,n/a,(see Code table 4.5),
1381,4.5,GRIB2_Template_4_41_ProductDefinitionTemplate_en,31,octet,n/a,(see Code table 4.5),
1382,4.6,GRIB2_Template_4_41_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.6),
1383,4.1,GRIB2_Template_4_42_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1384,4.2,GRIB2_Template_4_42_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1385,4.23,GRIB2_Template_4_42_ProductDefinitionTemplate_en,12-13,octet,n/a,(see Code table 4.230),
1386,4.3,GRIB2_Template_4_42_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.3),
1388,4.4,GRIB2_Template_4_42_ProductDefinitionTemplate_en,20,octet,n/a,(see Code table 4.4),
1390,4.5,GRIB2_Template_4_42_ProductDefinitionTemplate_en,25,octet,n/a,(see Code table 4.5),
1391,4.5,GRIB2_Template_4_42_ProductDefinitionTemplate_en,31,octet,n/a,(see Code table 4.5),
1392,4.1,GRIB2_Template_4_42_ProductDefinitionTemplate_en,49,octet,n/a,(see Code table 4.10),
1393,4.11,GRIB2_Template_4_42_ProductDefinitionTemplate_en,50,octet,n/a,(see Code table 4.11),
1394,4.4,GRIB2_Template_4_42_ProductDefinitionTemplate_en,51,octet,n/a,(see Code table 4.4),
1395,4.4,GRIB2_Template_4_42_ProductDefinitionTemplate_en,56,octet,n/a,(see Code table 4.4),
1398,4.1,GRIB2_Template_4_43_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1399,4.2,GRIB2_Template_4_43_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1400,4.23,GRIB2_Template_4_43_ProductDefinitionTemplate_en,12-13,octet,n/a,(see Code table 4.230),
1401,4.3,GRIB2_Template_4_43_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.3),
1403,4.4,GRIB2_Template_4_43_ProductDefinitionTemplate_en,20,octet,n/a,(see Code table 4.4),
1405,4.5,GRIB2_Template_4_43_ProductDefinitionTemplate_en,25,octet,n/a,(see Code table 4.5),
1406,4.5,GRIB2_Template_4_43_ProductDefinitionTemplate_en,31,octet,n/a,(see Code table 4.5),
1407,4.6,GRIB2_Template_4_43_ProductDefinitionTemplate_en,37,octet,n/a,(see Code table 4.6),
1408,4.1,GRIB2_Template_4_43_ProductDefinitionTemplate_en,52,octet,n/a,(see Code table 4.10),
1409,4.11,GRIB2_Template_4_43_ProductDefinitionTemplate_en,53,octet,n/a,(see Code table 4.11),
1410,4.4,GRIB2_Template_4_43_ProductDefinitionTemplate_en,54,octet,n/a,(see Code table 4.4),
1411,4.4,GRIB2_Template_4_43_ProductDefinitionTemplate_en,59,octet,n/a,(see Code table 4.4),
1414,4.1,GRIB2_Template_4_44_ProductDefinitionTemplate_en,10,octet,n/a,(see Code table 4.1),
1415,4.2,GRIB2_Template_4_44_ProductDefinitionTemplate_en,11,octet,n/a,(see Code table 4.2),
1416,4.233,GRIB2_Template_4_44_ProductDefinitionTemplate_en,12-13,octet,n/a,(see Code table 4.233),
1417,4.91,GRIB2_Template_4_44_ProductDefinitionTemplate_en,14,octet,n/a,(see Code table 4.91),
1418,4.3,GRIB2_Template_4_44_ProductDefinitionTemplate_en,25,octet,n/a,(see Code table 4.3),
