noteID,note,Association
75,"The Consultative Committee for Space Data Systems (CCSDS) recommended standard for lossless data compression is the standard used by space agencies for the compression of scientific data transmitted from satellites and other space instruments. CCSDS recommended standard for lossless data compression is a very fast predictive compression algorithm based on the extended-Rice algorithm. It uses Golomb–Rice codes for entropy coding. The sequence of prediction errors is divided into blocks. Each block is compressed using a two-pass algorithm. In the first pass, the best coding method for the whole block is determined. In the second pass, the output of the marker of the selected coding method is encoded as ancillary information along with prediction errors.The coding methods include:• Golomb–Rice codes of a chosen rank• Unary code for transformed pairs of prediction errors• Fixed-length natural binary code if the block is found to be incompressible• Signalling to the decoder empty block if all prediction errors are zeroes","[GRIB2_Template_5_42_DataRepresentationTemplate_en, unspecified]"
76,"The essence of the complex packing method is to subdivide a field of values into NG groups, where the values in each group have similar sizes. In this procedure, it is necessary to retain enough information to recover the group lengths upon decoding. The NG group lengths for any given field can be described by Ln = ref + Kn x len_inc, n = 1, NG, where ref is given by octets 38–41 and len_inc by octet 42. The NG values of K (the scaled group lengths) are stored in the datasection, each with the number of bits specified by octet 47. Since the last group is a special case which may not be able to be specified by this relationship, the length of the last group is stored in octets 43–46.","[[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet], [GRIB2_Template_7_2_DataTemplate_en, octet]]"
77,The exponent of 3 for the number of divisions of triangle sides is used only with a value of either 0 or 1.,"[GRIB2_Template_3_100_GridDefinitionTemplate_en, unspecified]"
78,The group length (L) is the number of values in a group.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet]"
79,The group width is the number of bits used for every value in a group.,"[GRIB2_Template_5_2_DataRepresentationTemplate_en, octet]"
80,"The horizontal and vertical angular resolutions of the sensor (Rx and Ry), needed for navigation equation, can be calculated from the following:Rx = 2 x arcsin ((106)/Nr)/dxRy = 2 x arcsin ((106)/Nr)/dy","[GRIB2_Template_3_90_GridDefinitionTemplate_en, unspecified]"
81,"The input originating centre shall have the value of the ""originating centre"" of the original GRIB message used as input of the post-processing.","[[GRIB2_Template_4_70_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_71_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_93_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_94_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_97_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_98_ProductDefinitionTemplate_en,octet]]"
82,"The input process identifier shall have the value of the ""analysis or forecast process identifier"" of the original GRIB message used as input of the post-processing.","[[GRIB2_Template_4_70_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_71_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_93_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_94_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_97_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_98_ProductDefinitionTemplate_en,octet]]"
83,"The intent of this template is to scale the grid point data to obtain the desired precision, if appropriate, and then subtract the reference value from the scaled field, as is done using data representation template 5.0. After this, the resulting grid point field can be treated as a greyscale image and encoded into the CCSDS recommended standard for lossless data compression code stream format. To unpack the data field, the CCSDS recommended standard for lossless data compression code stream is decoded back into an image, and the original field is obtained from the image data as described in regulation 92.9.4, Note 4.","[GRIB2_Template_5_42_DataRepresentationTemplate_en, octet]"
84,The JPEG 2000 standard specifies that the bit-depth must be in the range of 1 to 38 bits.,"[GRIB2_Template_5_40_DataRepresentationTemplate_en, octet]"
85,"The list of Ni longitudes and Nj latitudes shall be coded in the octets immediately following the grid definition template in octets 49 to ii and octets ii+1 to jj respectively, where ii = 48 + 4Ni and jj = 48 + 4Ni + 4Nj.","[GRIB2_Template_3_4_GridDefinitionTemplate_en, octet]"
86,"The number given refers to a specific grid required for formulating differential operators. The grid may consist of acentre and an arbitrary surrounding polygon. As model variables may be defined on vertices of the polygons or in the middle of a polygon edge, this generates some different grid descriptions, because each of those is defining their own centre and surrounding polygon. Each of these dependent grids needs their own set of centrelongitude/latitude and the longitude/latitude of the boundary polygon vertices. The following picture shows atriangle as base, a hexagon around the triangle's vertices and a quadrilateral around the edge midpoints.(a) Triangles (i) (pressure, temperature, ...)(b) Quadrilaterals (l) (wind velocity ...)(c) Hexagons (or pentagons, respectively) (v) (vorticity, ...)","[GRIB2_Template_3_101_GridDefinitionTemplate_en, octet]"
87,The number of parallels between a pole and the Equator is used to establish the variable (Gaussian) spacing of the parallels; this value must always be given.,"[[GRIB2_Template_3_40_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_41_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_42_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_43_GridDefinitionTemplate_en, unspecified]]"
88,"The order of the data points should remain as specified in the scanning mode flags (Flag table 3.4) set in the appropriate grid definition template, even though the JPEG 2000 standard specifies that an image is stored starting at the top left corner. Assuming that the encoding software is expecting the image data in raster order (left to right across rows for each row), users should set the image width to Ni (or Nx) and the height to Nj (or Ny) if bit 3 of the scanning mode flag equals 0 (adjacent points in i (x) order), when encoding the ""image"". If bit 3 of the scanning mode flags equals 1 (adjacent points in j (y) order), it may be advantageous to set the image width to Nj (or Ny) and the height to Ni (or Nx).","[GRIB2_Template_5_40_DataRepresentationTemplate_en, unspecified]"
89,"The order of the data points should remain as specified in the scanning mode flags (Flag table 3.4) set in the appropriate grid definition template, even though the PNG standard specifies that an image is stored starting at the top left corner andscans each row from left to right, starting with the top row. Users should set the image width to Ni (or Nx) and the height to Nj (or Ny) if bit 3 of the scanning mode flag equals 0 (adjacent points in i (x) order), when encoding the ""image"". If bit 3 of the scanning mode flags equals 1 (adjacent points in j (y) order), it may be advantageous to set the image width to Nj(or Ny) and the height to Ni (or Nx).","[GRIB2_Template_5_41_DataRepresentationTemplate_en, unspecified]"
90,"The origin of the grid is an icosahedron with 20 triangles and 12 vertices. The triangles are combined to nd quadrangles,the so-called diamonds (e.g. if nd = 10, two of the icosahedron triangles form a diamond, and if nd = 5, 4 icosahedron triangles form a diamond). There are two resolution values called n2 and n3 describing the division of each triangle side.Each triangle side is divided into ni equal parts, where ni = 3n3 x 2n2 with n3 either equal to 0 or to 1. In the example inGRIB Attachment I, the numbering order of the rectangles is anti-clockwise with a view from the pole point on bothhemispheres. Diamonds 1 to 5 are northern hemisphere and diamonds 6 to 10 are southern hemisphere.","[GRIB2_Template_3_100_GridDefinitionTemplate_en, unspecified]"
91,"The pentagonal representation of resolution is general. Some common truncations are special cases of the pentagonal one: Triangular: M = J = K Rhomboidal: K = J + M Trapezoidal: K = J, K > M","[[GRIB2_Template_3_50_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_51_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_52_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_53_GridDefinitionTemplate_en, unspecified]]"
92,The position of overall minimum after initial data values is a choice that enables less software management.,"[GRIB2_Template_7_3_DataTemplate_en, unspecified]"
93,"The purpose of this template is to scale the grid point data to obtain the desired precision, if appropriate, and then subtract out the reference value from the scaled field as is done using data representation template 5.0. After this, the resulting grid point field can be treated as a greyscale image and is then encoded into the JPEG 2000 code streamformat. To unpack the data field, the JPEG 2000 code stream is decoded back into an image, and the original field is obtained from the image data as described in Regulation 92.9.4, Note 4.","[GRIB2_Template_5_40_DataRepresentationTemplate_en, unspecified]"
94,"The purpose of this template is to scale the grid point data to obtain the desired precision, if appropriate, and then subtract out the reference value from the scaled field, as is done using data representation template 5.0. After this, the resulting grid point field can be treated as an image and is then encoded into PNG format. To unpack the data field, the PNG stream is decoded back into an image, and the original field is obtained from the image data as described in Regulation 92.9.4, Note 4.","[GRIB2_Template_5_41_DataRepresentationTemplate_en, unspecified]"
95,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 46, 58, 70, ...). For all but the innermost (last) time range, the next inner range is then processed using these references and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_9_ProductDefinitionTemplate_en, octet]"
96,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 48, 60, 72, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_8_ProductDefinitionTemplate_en, octet]"
97,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 50, 62, 74, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_12_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_42_ProductDefinitionTemplate_en, octet]]"
98,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 51, 62, 73, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_34_ProductDefinitionTemplate_en, octet]"
99,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 51, 63, 75, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_11_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_61_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_78_ProductDefinitionTemplate_en, octet]]"
100,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 53, 65, 77, …). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_43_ProductDefinitionTemplate_en, octet]"
101,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 54, 66, 78, …). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_79_ProductDefinitionTemplate_en, octet]]"
102,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 56, 68, 80, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet]"
103,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 57, 69, 81, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet]"
104,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 61, 72, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_46_ProductDefinitionTemplate_en, octet]"
105,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 62, 74, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_82_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_83_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_91_ProductDefinitionTemplate_en, octet]]"
106,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 63, 65, 77, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet]"
107,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 63, 75, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_47_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_85_ProductDefinitionTemplate_en, octet]]"
108,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 78, 90, 112, ...). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_14_ProductDefinitionTemplate_en, octet]"
109,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment (one of octets 82, 94, 106,....). For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[GRIB2_Template_4_13_ProductDefinitionTemplate_en, octet]"
110,"The reference and forecast times are successively set to their initial values plus or minus the increment, as defined by the type of time increment. For all but the innermost (last) time range, the next inner range is then processed using these reference and forecast times as the initial reference and forecast times.","[[GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_84_ProductDefinitionTemplate_en, octet]]"
111,The reference time in section 1 and the forecast time together define the beginning of the overall time interval.,"[[GRIB2_Template_4_10_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_11_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_12_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_13_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_14_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_34_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_42_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_43_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_46_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_47_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_61_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_62_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_63_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_67_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_68_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_78_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_79_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_8_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_82_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_83_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_84_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_85_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_87_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_9_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_91_ProductDefinitionTemplate_en, octet]]"
112,"The remaining coefficients are multiplied by (n x (n+1))P, scaled and packed. The operator associated with this multiplication is derived from the Laplacian operator on the sphere.","[GRIB2_Template_5_51_DataRepresentationTemplate_en, unspecified]"
113,"The remaining coefficients are multiplied by (n2+m2)P, scaled and packed. The operator associated with this multiplication is derived from the Laplacian operator.","[GRIB2_Template_5_53_DataRepresentationTemplate_en, unspecified]"
114,The resolution flags (bits 3-4 of Flag table 3.3) are not applicable.,"[[GRIB2_Template_3_20_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_30_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_31_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_4_GridDefinitionTemplate_en, octet]]"
115,The retrieval formula for a coefficient of wave number n is then: Y = (R + X x 2E) x 10–D x (m2+n2)–P where X is the packed scaled value associated with the coefficient.,"[GRIB2_Template_5_53_DataRepresentationTemplate_en, unspecified]"
116,The retrieval formula for a coefficient of wave number n is then: Y = (R + X x 2E) x10–D x (n x (n+1))–P where X is the packed scaled value associated with the coefficient.,"[GRIB2_Template_5_51_DataRepresentationTemplate_en, unspecified]"
117,"The stretching is defined by three parameters: (a) The latitude in degrees (measured in the model coordinate system) of the ""pole of stretching""; (b) The longitude in degrees (measured in the model coordinate system) of the ""pole of stretching""; and (c) The stretching factor C in units of 10-6 represented as an integer. The stretching is defined by representing data uniformly in a coordinate system with longitude λ and latitude θ1, where: {{IMAGE}} and λ and θ are longitude and latitude in a coordinate system in which the ""pole of stretching"" is the northern pole. C = 1 gives uniform resolution, while C > 1 gives enhanced resolution around the pole of stretching.","[[GRIB2_Template_3_2_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_3_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_42_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_43_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_52_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_53_GridDefinitionTemplate_en, unspecified]]"
118,"The total number of grid points for one global field depends on the grid point position. If e.g. the grid points are located at the vertices of the triangles, then nt = (ni + 1) x (ni + 1) x nd since grid points at diamond edges are contained in bothadjacent diamonds and for the same reason the pole points are contained in each of the five adjacent diamonds.","[GRIB2_Template_3_100_GridDefinitionTemplate_en, unspecified]"
119,"The unpacked subset is a set of values defined in the same way as the full set of values (on a spectrum limited to JS,KS and MS), but on which scaling and packing are not applied. Associated values are stored in octets 6 onwards of Section 7.","[GRIB2_Template_5_51_DataRepresentationTemplate_en, octet]"
120,"The unpacked subset is a set of values defined in the same way as the full set of values (on a spectrum limited to NSand MS), but on which scaling and packing are not applied. Associated values are stored in octets 6 onwards of Section 7.","[GRIB2_Template_5_53_DataRepresentationTemplate_en, octet]"
121,"The word ""fraction"" or the word ""percentage"" has to be explicitly used in the name of the parameter to refer to a normalization term N = 1 in the case of ""fraction"" and N = 100 in the case of percentage.","[[GRIB2_Template_4_53_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_54_ProductDefinitionTemplate_en, octet]]"
122,The year can be recovered with the formula: Year (real/decoded) = Year + 10 000 x Offset,"[[GRIB2_Template_1_1_IdentificationTemplate_en, template], [GRIB2_Template_1_2_IdentificationTemplate_en, template]]"
123,"There may be two types of missing value(s), such as to make a distinction between static misses (for instance, due to a land/sea mask) and occasional misses.","[GRIB2_Template_5_2_DataRepresentationTemplate_en, unspecified]"
124,These octets are only present for quasi-regular grids.,"[[GRIB2_Template_3_0_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_1_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_10_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_2_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_3_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_40_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_41_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_42_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_43_GridDefinitionTemplate_en, octet]]"
125,"This form of representation enables a matrix of values to be depicted at each grid point; the two dimensions of the matrix may represent coordinates expressed in terms of two elemental parameters (e.g. direction and frequency for wavespectra). The numeric values of these coordinates, beyond that of simple subscripts, can be given in a functional form,or as a collection of explicit numbers.","[GRIB2_Template_5_1_DataRepresentationTemplate_en, unspecified]"
126,This identifies which post-processing technique was used. This is defined by the originating centre.,"[[GRIB2_Template_4_70_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_71_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_72_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_73_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_93_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_94_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_97_ProductDefinitionTemplate_en,octet], [GRIB2_Template_4_98_ProductDefinitionTemplate_en,octet]]"
127,This is the date when the reforecast is produced with a particular version of the model.,"[[GRIB2_Template_4_60_ProductDefinitionTemplate_en, octet], [GRIB2_Template_4_61_ProductDefinitionTemplate_en, octet]]"
128,This template is appropriately designed for data sets with all non-negative values and a wide variability range (more than 5 orders of magnitude). It must not be used for data sets with negative values or smaller variability range.,"[GRIB2_Template_5_61_DataRepresentationTemplate_en, unspecified]"
129,This template is deprecated. Template 4.31 should be used instead.,"[GRIB2_Template_4_30_ProductDefinitionTemplate_en, template]"
130,"This template is experimental, was not validated at the time of publication and should be used only for bilateral previously agreed tests.","[[GRIB2_Template_3_1200_GridDefinitionTemplate_en, template], [GRIB2_Template_4_1000_ProductDefinitionTemplate_en, template], [GRIB2_Template_4_1001_ProductDefinitionTemplate_en, template], [GRIB2_Template_4_1002_ProductDefinitionTemplate_en, template], [GRIB2_Template_4_1100_ProductDefinitionTemplate_en, template], [GRIB2_Template_5_61_DataRepresentationTemplate_en, template]]"
131,"This template is experimental, was not validated at the time of publication and should be used only for bilateral previously agreed tests. (Octets 35-50 are very similar to octets 43-58 of product definition template 4.8, but the meaning of some fields differs slightly.)","[GRIB2_Template_4_1101_ProductDefinitionTemplate_en, template]"
132,"This template should not be used when the data points are not available on a rectangular grid, such as occurs if some data points are bit-mapped out or if section 3 describes a quasi-regular grid. If it is necessary to use this template on such a grid, the data field can be treated as a one-dimensional image where the height is set to 1 and the width is set to the total number of data points specified in octets 6–9.","[[GRIB2_Template_5_40_DataRepresentationTemplate_en, unspecified], [GRIB2_Template_5_41_DataRepresentationTemplate_en, unspecified]]"
133,This template should not be used. Product definition template 4.0 should be used instead.,"[GRIB2_Template_4_7_ProductDefinitionTemplate_en, template]"
134,This template was not validated at the time of publication and should be used with caution. Please report any use to the WMO Secretariat (Observing and Information Systems Department) to assist for validation.,"[[GRIB2_Template_4_10_ProductDefinitionTemplate_en, template], [GRIB2_Template_5_1_DataRepresentationTemplate_en, template]]"
135,This template was not validated at the time of publication and should be used with caution. Please report any use to the WMO Secretariat to assist for validation.,"[GRIB2_Template_7_1_DataTemplate_en, template]"
136,"Three parameters define a general latitude/longitude coordinate system, formed by a general rotation of the sphere. One choice for these parameters is: (a) The geographic latitude in degrees of the southern pole of the coordinate system, θp for example; (b) The geographic longitude in degrees of the southern pole of the coordinate system, λp for example; (c) The angle of rotation in degrees about the new polar axis (measured clockwise when looking from the southern to the northern pole) of the coordinate system, assuming the new axis to have been obtained by first rotating the sphere through λp degrees about the geographic polar axis, and then rotating through (90 + θp) degrees so that the southern pole moved along the (previously rotated) Greenwich meridian.","[[GRIB2_Template_3_1_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_10_GridDefinitionTemplate_en, octet], [GRIB2_Template_3_3_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_41_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_43_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_5_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_51_GridDefinitionTemplate_en, unspecified], [GRIB2_Template_3_53_GridDefinitionTemplate_en, unspecified]]"
137,"Values ordering within the packed data is done according to the source of grid definition, skipping the values processed in the unpacked subset.","[GRIB2_Template_7_51_DataTemplate_en, unspecified]"
138,Values ordering within the unpacked subset is defined according to the source of grid definition associated with the data.,"[GRIB2_Template_7_51_DataTemplate_en, unspecified]"
139,"Years before year 1 shall be coded as defined in ISO 8601 (year 1 is followed by year 0). If applicable, year -1 or before shall be indicated by setting the most significant bit of octets 13-14 and 24-25 to ""1"" in accordance with Regulation 92.1.5.","[[GRIB2_Template_1_1_IdentificationTemplate_en, template], [GRIB2_Template_1_2_IdentificationTemplate_en, template]]"